,type,properties_mag,properties_place,properties_time,properties_updated,properties_tz,properties_url,properties_detail,properties_felt,properties_cdi,properties_mmi,properties_alert,properties_status,properties_tsunami,properties_sig,properties_net,properties_code,properties_ids,properties_sources,properties_types,properties_nst,properties_dmin,properties_rms,properties_gap,properties_magType,properties_type,properties_title,geometry_type,geometry_long,geometry_lat,geometry_focaldepth,id,quake_api_type,quake_metadata_generated,quake_metadata_url,quake_metadata_title,quake_metadata_status,quake_metadata_api,quake_metadata_count,properties_time_new,properties_updated_new,quake_metadata_generated_new
0,Feature,4.6,"83 km SSW of Kawalu, Indonesia",1672703718432,1672726661889,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j1q7,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000j1q7&format=geojson,2.0,5.0,,,reviewed,0,327,us,7000j1q7,",us7000j1q7,",",us,",",dyfi,origin,phase-data,",43.0,2.524,0.43,115.0,mb,earthquake,"M 4.6 - 83 km SSW of Kawalu, Indonesia",Point,107.9821,-8.1052,59.739,us7000j1q7,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.703718432,1970-01-01 00:27:52.726661889,1970-01-01 00:27:52.847148
1,Feature,1.7,"56 km NE of Chase, Alaska",1672703606359,1672703726899,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0233p32vv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0233p32vv&format=geojson,,,,,automatic,0,44,ak,0233p32vv,",ak0233p32vv,",",ak,",",origin,phase-data,",,,0.53,,ml,earthquake,"M 1.7 - 56 km NE of Chase, Alaska",Point,-149.2861,62.7915,53.2,ak0233p32vv,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.703606359,1970-01-01 00:27:52.703726899,1970-01-01 00:27:52.847148
2,Feature,0.04,"85 km NW of Karluk, Alaska",1672703418030,1672805370380,,https://earthquake.usgs.gov/earthquakes/eventpage/av91741961,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91741961&format=geojson,,,,,reviewed,0,0,av,91741961,",av91741961,",",av,",",origin,phase-data,",5.0,,0.07,137.0,ml,earthquake,"M 0.0 - 85 km NW of Karluk, Alaska",Point,-155.373333333333,58.165,1.11,av91741961,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.703418030,1970-01-01 00:27:52.805370380,1970-01-01 00:27:52.847148
3,Feature,0.81,"21 km WSW of False Pass, Alaska",1672702951740,1672807002580,,https://earthquake.usgs.gov/earthquakes/eventpage/av91082658,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91082658&format=geojson,,,,,reviewed,0,10,av,91082658,",av91082658,",",av,",",origin,phase-data,",4.0,,0.05,131.0,ml,earthquake,"M 0.8 - 21 km WSW of False Pass, Alaska",Point,-163.704,54.7595,0.66,av91082658,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.702951740,1970-01-01 00:27:52.807002580,1970-01-01 00:27:52.847148
4,Feature,1.9,"72 km ESE of Denali Park, Alaska",1672702612540,1672702737358,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0233ozhqe,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0233ozhqe&format=geojson,,,,,automatic,0,56,ak,0233ozhqe,",ak0233ozhqe,",",ak,",",origin,phase-data,",,,0.71,,ml,earthquake,"M 1.9 - 72 km ESE of Denali Park, Alaska",Point,-147.5031,63.5485,3.0,ak0233ozhqe,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.702612540,1970-01-01 00:27:52.702737358,1970-01-01 00:27:52.847148
5,Feature,0.95,"Andreanof Islands, Aleutian Islands, Alaska",1672701480890,1672806719130,,https://earthquake.usgs.gov/earthquakes/eventpage/av91741951,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91741951&format=geojson,,,,,reviewed,0,14,av,91741951,",av91741951,",",av,",",origin,phase-data,",5.0,,0.17,217.0,ml,earthquake,"M 1.0 - Andreanof Islands, Aleutian Islands, Alaska",Point,-176.016666666667,52.0823333333333,3.88,av91741951,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.701480890,1970-01-01 00:27:52.806719130,1970-01-01 00:27:52.847148
6,Feature,2.0,"60 km SW of Cantwell, Alaska",1672701386106,1672701502539,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0233ov5de,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0233ov5de&format=geojson,,,,,automatic,0,62,ak,0233ov5de,",ak0233ov5de,",",ak,",",origin,phase-data,",,,0.59,,ml,earthquake,"M 2.0 - 60 km SW of Cantwell, Alaska",Point,-149.8063,63.0146,78.6,ak0233ov5de,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.701386106,1970-01-01 00:27:52.701502539,1970-01-01 00:27:52.847148
7,Feature,1.9,"23 km S of Tolsona, Alaska",1672701159182,1672701293445,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0233oubim,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0233oubim&format=geojson,,,,,automatic,0,56,ak,0233oubim,",ak0233oubim,",",ak,",",origin,phase-data,",,,0.58,,ml,earthquake,"M 1.9 - 23 km S of Tolsona, Alaska",Point,-146.1593,61.8736,23.3,ak0233oubim,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.701159182,1970-01-01 00:27:52.701293445,1970-01-01 00:27:52.847148
8,Feature,1.96,"10 km NE of P?hala, Hawaii",1672701081620,1672701412640,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73292462,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73292462&format=geojson,,,,,automatic,0,59,hv,73292462,",hv73292462,",",hv,",",origin,phase-data,",39.0,,0.140000001,109.0,ml,earthquake,"M 2.0 - 10 km NE of P?hala, Hawaii",Point,-155.417831420898,19.2835006713867,32.9099998474121,hv73292462,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.701081620,1970-01-01 00:27:52.701412640,1970-01-01 00:27:52.847148
9,Feature,1.17,"9km NNW of Anza, CA",1672701041960,1672755914977,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40153143,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40153143&format=geojson,,,,,reviewed,0,21,ci,40153143,",ci40153143,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",39.0,0.06895,0.22,51.0,ml,earthquake,"M 1.2 - 9km NNW of Anza, CA",Point,-116.698,33.6351667,14.95,ci40153143,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.701041960,1970-01-01 00:27:52.755914977,1970-01-01 00:27:52.847148
10,Feature,0.99,"18km E of Anza, CA",1672701037170,1672701251754,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40153135,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40153135&format=geojson,,,,,automatic,0,15,ci,40153135,",ci40153135,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.07716,0.32,201.0,ml,earthquake,"M 1.0 - 18km E of Anza, CA",Point,-116.4841667,33.5371667,13.92,ci40153135,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.701037170,1970-01-01 00:27:52.701251754,1970-01-01 00:27:52.847148
11,Feature,0.91,"10km N of Anza, CA",1672701006860,1672755923459,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40153127,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40153127&format=geojson,,,,,reviewed,0,13,ci,40153127,",ci40153127,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",24.0,0.07105,0.12,56.0,ml,earthquake,"M 0.9 - 10km N of Anza, CA",Point,-116.6915,33.6425,14.35,ci40153127,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.701006860,1970-01-01 00:27:52.755923459,1970-01-01 00:27:52.847148
12,Feature,2.27999997,"8 km ENE of P?hala, Hawaii",1672700948250,1672701195700,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73292457,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73292457&format=geojson,,,,,automatic,0,80,hv,73292457,",hv73292457,",",hv,",",origin,phase-data,",31.0,,0.129999995,132.0,md,earthquake,"M 2.3 - 8 km ENE of P?hala, Hawaii",Point,-155.406173706055,19.242166519165,33.189998626709,hv73292457,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.700948250,1970-01-01 00:27:52.701195700,1970-01-01 00:27:52.847148
13,Feature,5.2,"Izu Islands, Japan region",1672700473479,1672701573040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000j1pz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000j1pz&format=geojson,,,,,reviewed,0,416,us,7000j1pz,",us7000j1pz,",",us,",",moment-tensor,origin,phase-data,",66.0,2.63,0.77,119.0,mww,earthquake,"M 5.2 - Izu Islands, Japan region",Point,141.8686,31.1405,10.0,us7000j1pz,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.700473479,1970-01-01 00:27:52.701573040,1970-01-01 00:27:52.847148
14,Feature,1.8,"35 km WSW of Mentone, Texas",1672700223425,1672832383087,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023adox,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023adox&format=geojson,,,,,reviewed,0,50,tx,2023adox,",tx2023adox,",",tx,",",origin,phase-data,",16.0,0.009124937983,0.1,71.0,ml,earthquake,"M 1.8 - 35 km WSW of Mentone, Texas",Point,-103.9588425,31.60746086,7.93112793,tx2023adox,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.700223425,1970-01-01 00:27:52.832383087,1970-01-01 00:27:52.847148
15,Feature,1.8,"26 km ESE of Point Possession, Alaska",1672700159684,1672700279424,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0233oi5a8,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0233oi5a8&format=geojson,,,,,automatic,0,50,ak,0233oi5a8,",ak0233oi5a8,",",ak,",",origin,phase-data,",,,0.42,,ml,earthquake,"M 1.8 - 26 km ESE of Point Possession, Alaska",Point,-150.2667,60.8055,33.9,ak0233oi5a8,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.700159684,1970-01-01 00:27:52.700279424,1970-01-01 00:27:52.847148
16,Feature,-0.29,"86 km NW of Karluk, Alaska",1672699863930,1672808352760,,https://earthquake.usgs.gov/earthquakes/eventpage/av91741926,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91741926&format=geojson,,,,,reviewed,0,0,av,91741926,",av91741926,",",av,",",origin,phase-data,",6.0,,0.06,103.0,ml,earthquake,"M -0.3 - 86 km NW of Karluk, Alaska",Point,-155.327166666667,58.189,1.73,av91741926,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.699863930,1970-01-01 00:27:52.808352760,1970-01-01 00:27:52.847148
17,Feature,2.430479956,"34 km NE of McKinney Acres, Texas",1672699784706,1672763684340,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023ador,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023ador&format=geojson,,,,,reviewed,0,91,tx,2023ador,",tx2023ador,",",tx,",",origin,phase-data,",15.0,0.1220197875,0.3,61.0,mlv,earthquake,"M 2.4 - 34 km NE of McKinney Acres, Texas",Point,-102.2435928,32.49664307,2.469930013,tx2023ador,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.699784706,1970-01-01 00:27:52.763684340,1970-01-01 00:27:52.847148
18,Feature,0.2,"85 km NW of Karluk, Alaska",1672699542037,1672809077490,,https://earthquake.usgs.gov/earthquakes/eventpage/ak0233ofxdv,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0233ofxdv&format=geojson,,,,,reviewed,0,1,ak,0233ofxdv,",av91741921,ak0233ofxdv,",",av,ak,",",origin,phase-data,",,,0.33,,ml,earthquake,"M 0.2 - 85 km NW of Karluk, Alaska",Point,-155.3273,58.181,5.0,ak0233ofxdv,FeatureCollection,1672847148000,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-02&endtime=2023-01-03,USGS Earthquakes,200,1.13.6,321,1970-01-01 00:27:52.699542037,1970-01-01 00:27:52.809077490,1970-01-01 00:27:52.847148
