type    ,id          ,properties.mag     ,properties.place                                  ,properties.time ,properties.updated ,properties.tz ,properties.url                                                ,properties.detail                                                                   ,properties.felt ,properties.cdi ,properties.mmi ,properties.alert ,properties.status ,properties.tsunami ,properties.sig ,properties.net ,properties.code ,properties.ids                           ,properties.sources ,properties.types                                                                                   ,properties.nst ,properties.dmin ,properties.rms ,properties.gap ,properties.magType ,properties.type ,properties.title                                          ,geometry.type ,generated     ,url                                                                                                     ,title            ,status ,api    ,count ,geometry.coordinates.longitude ,geometry.coordinates.latitude ,geometry.coordinates.depth ,properties.time.datetime ,properties.updated.datetime ,metadata.generated.datetime
Feature ,av91083288  ,0.0                ,"84 km NW of Karluk, Alaska"                      ,  1672962607260 ,     1673048606090 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/av91083288  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91083288&format=geojson  ,                ,               ,               ,                 ,reviewed          ,                 0 ,             0 ,av             ,91083288        ,",av91083288,"                           ,",av,"             ,",origin,phase-data,"                                                                              ,           6.0 ,                ,  0.06         ,        154.0  ,ml                 ,earthquake      ,"M 0.0 - 84 km NW of Karluk, Alaska"                      ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-155.298333333333              ,58.184                        ,0.79                       ,2023-01-05 23:50:07.260  ,2023-01-06 23:43:26.090     ,2023-01-07 15:00:34
Feature ,tx2023ajda  ,2.1                ,"20 km N of Stanton, Texas"                       ,  1672962290679 ,     1673020409027 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/tx2023ajda  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2023ajda&format=geojson  ,                ,               ,               ,                 ,reviewed          ,                 0 ,            68 ,tx             ,2023ajda        ,",tx2023ajda,"                           ,",tx,"             ,",origin,phase-data,"                                                                              ,          12.0 ,  0.02928401594 ,  0.2          ,         88.0  ,ml                 ,earthquake      ,"M 2.1 - 20 km N of Stanton, Texas"                       ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-101.8287919                   ,32.31079102                   ,5.380045573                ,2023-01-05 23:44:50.679  ,2023-01-06 15:53:29.027     ,2023-01-07 15:00:34
Feature ,ci40154007  ,1.82               ,"6km NE of Anza, CA"                              ,  1672962258580 ,     1672962914650 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/ci40154007  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40154007&format=geojson  ,                ,               ,               ,                 ,automatic         ,                 0 ,            51 ,ci             ,40154007        ,",ci40154007,"                           ,",ci,"             ,",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,"                                   ,          52.0 ,  0.02333       ,  0.19         ,         24.0  ,ml                 ,earthquake      ,"M 1.8 - 6km NE of Anza, CA"                              ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-116.6238333                   ,33.596                        ,12.9                       ,2023-01-05 23:44:18.580  ,2023-01-05 23:55:14.650     ,2023-01-07 15:00:34
Feature ,ak0238nlwmi ,1.7                ,"91 km NW of Aleneva, Alaska"                     ,  1672961906346 ,     1672962020651 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/ak0238nlwmi ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0238nlwmi&format=geojson ,                ,               ,               ,                 ,automatic         ,                 0 ,            44 ,ak             ,0238nlwmi       ,",ak0238nlwmi,"                          ,",ak,"             ,",origin,phase-data,"                                                                              ,               ,                ,  1.04         ,               ,ml                 ,earthquake      ,"M 1.7 - 91 km NW of Aleneva, Alaska"                     ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-153.8816                      ,58.7023                       ,40.2                       ,2023-01-05 23:38:26.346  ,2023-01-05 23:40:20.651     ,2023-01-07 15:00:34
Feature ,nc73829076  ,1.01               ,"1km NNW of The Geysers, CA"                      ,  1672961620830 ,     1672964412795 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/nc73829076  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73829076&format=geojson  ,                ,               ,               ,                 ,automatic         ,                 0 ,            16 ,nc             ,73829076        ,",nc73829076,"                           ,",nc,"             ,",nearby-cities,origin,phase-data,scitech-link,"                                                   ,          11.0 ,  0.01261       ,  0.03         ,        123.0  ,md                 ,earthquake      ,"M 1.0 - 1km NNW of The Geysers, CA"                      ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-122.7623367                   ,38.788166                     ,2.13                       ,2023-01-05 23:33:40.830  ,2023-01-06 00:20:12.795     ,2023-01-07 15:00:34
Feature ,av91083293  ,0.04               ,"83 km NNW of Karluk, Alaska"                     ,  1672961575520 ,     1673048883900 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/av91083293  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91083293&format=geojson  ,                ,               ,               ,                 ,reviewed          ,                 0 ,             0 ,av             ,91083293        ,",av91083293,"                           ,",av,"             ,",origin,phase-data,"                                                                              ,           8.0 ,                ,  0.14         ,        122.0  ,ml                 ,earthquake      ,"M 0.0 - 83 km NNW of Karluk, Alaska"                     ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-155.039666666667              ,58.2483333333333              ,4.51                       ,2023-01-05 23:32:55.520  ,2023-01-06 23:48:03.900     ,2023-01-07 15:00:34
Feature ,pr71391178  ,3.3                ,"68 km N of Tierras Nuevas Poniente, Puerto Rico" ,  1672961517180 ,     1672963389280 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/pr71391178  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71391178&format=geojson  ,                ,               ,               ,                 ,reviewed          ,                 0 ,           168 ,pr             ,71391178        ,",us7000j2fa,pr71391178,"                ,",us,pr,"          ,",origin,phase-data,"                                                                              ,           9.0 ,  0.7589        ,  0.12         ,        259.0  ,md                 ,earthquake      ,"M 3.3 - 68 km N of Tierras Nuevas Poniente, Puerto Rico" ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-66.5188333333333              ,19.076                        ,25.06                      ,2023-01-05 23:31:57.180  ,2023-01-06 00:03:09.280     ,2023-01-07 15:00:34
Feature ,ci40153999  ,2.05               ,"6km NE of Anza, CA"                              ,  1672961183500 ,     1673046791460 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/ci40153999  ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40153999&format=geojson  ,                ,               ,               ,                 ,reviewed          ,                 0 ,            65 ,ci             ,40153999        ,",ci40153999,"                           ,",ci,"             ,",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,"                                   ,          82.0 ,  0.02826       ,  0.18         ,         23.0  ,ml                 ,earthquake      ,"M 2.1 - 6km NE of Anza, CA"                              ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-116.6308333                   ,33.595                        ,13.25                      ,2023-01-05 23:26:23.500  ,2023-01-06 23:13:11.460     ,2023-01-07 15:00:34
Feature ,ak0238niqwg ,1.2                ,"28 km WNW of Anchor Point, Alaska"               ,  1672961032487 ,     1672961134898 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/ak0238niqwg ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0238niqwg&format=geojson ,                ,               ,               ,                 ,automatic         ,                 0 ,            22 ,ak             ,0238niqwg       ,",ak0238niqwg,"                          ,",ak,"             ,",origin,phase-data,"                                                                              ,               ,                ,  0.25         ,               ,ml                 ,earthquake      ,"M 1.2 - 28 km WNW of Anchor Point, Alaska"               ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-152.2687                      ,59.906                        ,77.6                       ,2023-01-05 23:23:52.487  ,2023-01-05 23:25:34.898     ,2023-01-07 15:00:34
Feature ,ak0238ngza8 ,0.4                ,"83 km NNW of Karluk, Alaska"                     ,  1672960528007 ,     1673048448150 ,              ,https://earthquake.usgs.gov/earthquakes/eventpage/ak0238ngza8 ,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak0238ngza8&format=geojson ,                ,               ,               ,                 ,automatic         ,                 0 ,             2 ,ak             ,0238ngza8       ,",av91743381,ak0238ngza8,"               ,",av,ak,"          ,",origin,phase-data,"                                                                              ,               ,                ,  0.08         ,               ,ml                 ,earthquake      ,"M 0.4 - 83 km NNW of Karluk, Alaska"                     ,Point         ,1673103634000 ,https://earthquake.usgs.gov/fdsnws/event/1/query?format=geojson&starttime=2023-01-05&endtime=2023-01-06 ,USGS Earthquakes ,   200 ,1.13.6 ,  271 ,-155.0495                      ,58.2459                       ,1.2                        ,2023-01-05 23:15:28.007  ,2023-01-06 23:40:48.150     ,2023-01-07 15:00:34
